datetime,interaction,direction,correspondent_id,call_duration
2011-02-16 12:02:21,call,in,4143a8f957bed002be427995ce508b1d256a723,99
2011-02-16 18:20:46,call,out,8f811a202efbc7163a49382cbcc4d5fd3bd964ee,145
2011-02-16 18:19:20,call,out,647519a5e47ff6fcfa342abf25fad894cd7f94d0,7
2011-02-16 20:19:14,call,in,b75060ceff5e41d3e04ceabdd276abeb3043cb66,35
2011-02-17 09:26:43,call,in,fa10-01-02,237
2011-02-17 16:11:17,call,out,21d51ab822a16ea66afc46f33fe28ccd77c629c4,33
2011-02-17 19:02:35,call,in,175e1cfcbf9f790c2ae9fd29bf09b341225e2827,608
2011-02-18 10:37:34,call,out,98091cd290195bfca8acb8bd44fd8eac4b9b8c1d,58
2011-02-18 16:28:06,call,in,fa10-01-02,160
2011-02-19 12:15:09,call,out,733745394df93af9b676b5df3cc780b6da880766,6
2011-02-19 16:00:11,call,in,fa10-01-02,31
2011-02-19 18:11:40,call,out,fa10-01-02,0
2011-02-19 19:14:07,call,in,fa10-01-02,20
2011-02-21 08:05:07,call,out,b75060ceff5e41d3e04ceabdd276abeb3043cb66,6
2011-02-22 17:45:33,call,in,fa10-01-02,125
2011-02-22 17:43:45,call,out,fa10-01-02,4
2011-02-23 17:22:04,call,in,fa10-01-02,397
2011-02-23 17:44:41,call,in,fa10-01-02,24
2011-02-23 20:50:59,call,in,953d393a6f3ecda8c9059a4a18ddd2df89d5a5aa,23
2011-02-23 20:54:55,call,out,953d393a6f3ecda8c9059a4a18ddd2df89d5a5aa,656
2011-02-24 17:40:37,call,out,c2405c0f78d6aa49e178dc1ce318ea09b26ebd89,37
2011-02-24 18:12:44,call,in,c2405c0f78d6aa49e178dc1ce318ea09b26ebd89,220
2011-02-24 19:02:18,call,out,c2405c0f78d6aa49e178dc1ce318ea09b26ebd89,12
2011-02-24 20:15:50,call,out,c2405c0f78d6aa49e178dc1ce318ea09b26ebd89,30
2011-02-24 20:12:13,call,out,c2405c0f78d6aa49e178dc1ce318ea09b26ebd89,6
2011-02-24 23:00:58,call,out,c2405c0f78d6aa49e178dc1ce318ea09b26ebd89,3
2011-02-24 23:21:37,call,out,fa10-01-02,61
2011-02-25 12:01:51,call,out,fb91f6116fc3796cc485249a324806480bcd4a20,0
2011-02-25 16:09:14,call,out,8033cfb934e406d61145ae5b87b16edc7e68c73e,28
2011-02-25 16:08:24,call,out,fa10-01-01,29
2011-02-25 16:17:37,call,out,46f2ec2ba817cd98fff53bef66ab66d4392653d7,0
2011-02-25 16:17:12,call,out,46f2ec2ba817cd98fff53bef66ab66d4392653d7,0
2011-02-25 16:46:52,call,out,b30940a9d1a4a79aaa9f589721b80e086028eabd,170
2011-02-25 18:15:43,call,out,fa10-01-02,99
2011-02-27 08:34:38,call,out,b3b1c0b4b7f5eb9f4b835c349732d200dd952794,0
2011-02-27 15:21:22,call,in,daa9dece01c48da4635bf5f250142cfb6577d822,186
2011-02-27 16:34:47,call,out,953d393a6f3ecda8c9059a4a18ddd2df89d5a5aa,117
