interaction,direction,correspondent_id,datetime,call_duration
text,in,fa10-01-09,2010-09-13 11:48:45,
text,in,fa10-01-09,2010-09-13 13:35:47,
text,out,fa10-01-09,2010-09-13 13:33:23,
text,out,fa10-01-09,2010-09-13 13:33:06,
text,in,e2aba1aa60461778182481103430b4420bedb62a,2010-09-13 14:27:46,
text,in,e2aba1aa60461778182481103430b4420bedb62a,2010-09-13 14:27:31,
text,out,89f978e5e009ceef33f8581a16bff1843c52329d,2010-09-13 14:27:15,
text,out,458f005371d2941562498a4bbf4af6bee3601c1,2010-09-13 14:27:15,
text,out,1b9044f1562c88a89928c5eba75a024385fda105,2010-09-13 14:27:15,
text,out,ee0a5048d693c93ff8240d7b324f117727baad6d,2010-09-13 14:27:15,
text,out,9ba8710a110a3d58b49815f00e50f95f666eb46d,2010-09-13 14:27:15,
text,out,4b3ae4174ca59dfa6adbf6711006c2d33ce25cb4,2010-09-13 14:27:15,
text,out,13627ed8470d4bb4130883422078981b8d26667e,2010-09-13 14:27:15,
text,out,297194f7ae0a890ee760bee002752209d064adb4,2010-09-13 14:27:15,
text,out,8c878f8355c1a45b18fbf6c24d03dead07d239e4,2010-09-13 14:27:15,
text,out,8f73f3d0a57a8d590b5b71883186ae3067de8ee2,2010-09-13 14:27:15,
text,out,486adadc38d9f8eba5fd5deed067ca61872aa2be,2010-09-13 14:27:15,
text,out,edd700184d89b04a15323ebd852072f5045c0b11,2010-09-13 14:27:15,
text,out,31bdee1cd0bd36046775403fd84cff42f8fb49d8,2010-09-13 14:27:15,
text,out,fa10-01-76,2010-09-13 14:40:14,
text,in,fa10-01-76,2010-09-13 15:21:16,
text,in,fa10-01-09,2010-09-13 15:22:22,
text,out,13627ed8470d4bb4130883422078981b8d26667e,2010-09-13 16:50:57,
text,out,fa10-01-76,2010-09-13 16:45:19,
text,out,fa10-01-09,2010-09-13 17:07:18,
text,in,c497afff83a108a8a955970c77a8868396a3325e,2010-09-13 17:33:24,
text,in,1d31e2578e194264f1b025e6897c7d98f6723adf,2010-09-13 17:52:13,
text,out,fa10-01-09,2010-09-13 23:45:33,
text,out,fa10-01-09,2010-09-14 00:11:32,
text,in,fa10-01-09,2010-09-14 08:15:14,
text,out,fa10-01-09,2010-09-14 09:16:46,
text,in,fa10-01-09,2010-09-14 09:18:53,
text,out,fa10-01-09,2010-09-14 10:00:28,
text,in,6bf07575706d033f58631631ad773e4d25622b42,2010-09-14 11:09:10,
text,out,6bf07575706d033f58631631ad773e4d25622b42,2010-09-14 11:07:40,
text,in,89f978e5e009ceef33f8581a16bff1843c52329d,2010-09-14 17:05:34,
text,in,fa10-01-09,2010-09-14 19:16:24,
text,in,89f978e5e009ceef33f8581a16bff1843c52329d,2010-09-14 21:20:49,
text,out,89f978e5e009ceef33f8581a16bff1843c52329d,2010-09-14 21:18:06,
text,in,fa10-01-09,2010-09-15 10:04:15,
text,in,6bf07575706d033f58631631ad773e4d25622b42,2010-09-15 14:39:12,
text,in,6bf07575706d033f58631631ad773e4d25622b42,2010-09-15 20:26:42,
text,out,6bf07575706d033f58631631ad773e4d25622b42,2010-09-15 20:24:41,
text,in,fa10-01-09,2010-09-16 10:12:46,
text,in,fa10-01-09,2010-09-16 10:12:07,
text,out,fa10-01-09,2010-09-16 10:13:54,
text,out,fa10-01-09,2010-09-16 10:13:20,
text,in,fa10-01-76,2010-09-16 22:28:51,
text,in,fa10-01-09,2010-09-16 22:29:44,
text,out,fa10-01-76,2010-09-16 23:23:23,
text,in,89f978e5e009ceef33f8581a16bff1843c52329d,2010-09-19 20:35:07,
text,in,fa10-01-09,2010-09-20 13:39:36,
text,in,fa10-01-09,2010-09-20 16:32:15,
text,in,fa10-01-09,2010-09-21 12:15:31,
text,out,458f005371d2941562498a4bbf4af6bee3601c1,2010-09-21 17:00:55,
text,in,fa10-01-76,2010-09-21 22:06:36,
text,out,fa10-01-76,2010-09-21 21:47:12,
text,out,fa10-01-76,2010-09-21 22:14:16,
text,out,fa10-01-09,2010-09-22 10:32:15,
text,in,458f005371d2941562498a4bbf4af6bee3601c1,2010-09-22 11:01:51,
text,in,fa10-01-09,2010-09-22 12:28:23,
text,in,fa10-01-09,2010-09-23 08:52:39,
text,out,458f005371d2941562498a4bbf4af6bee3601c1,2010-09-23 09:33:29,
text,in,458f005371d2941562498a4bbf4af6bee3601c1,2010-09-23 10:32:45,
text,in,6bf07575706d033f58631631ad773e4d25622b42,2010-09-24 09:12:07,
text,in,6bf07575706d033f58631631ad773e4d25622b42,2010-09-24 09:08:07,
text,out,6bf07575706d033f58631631ad773e4d25622b42,2010-09-24 09:13:09,
text,out,6bf07575706d033f58631631ad773e4d25622b42,2010-09-24 09:10:57,
text,out,6bf07575706d033f58631631ad773e4d25622b42,2010-09-24 09:06:31,
text,in,fa10-01-09,2010-09-24 14:06:56,
text,in,fa10-01-09,2010-09-24 16:41:59,
text,in,fa10-01-09,2010-09-25 09:44:39,
text,in,6bf07575706d033f58631631ad773e4d25622b42,2010-09-27 11:26:45,
text,out,6bf07575706d033f58631631ad773e4d25622b42,2010-09-27 11:29:43,
text,out,6bf07575706d033f58631631ad773e4d25622b42,2010-09-27 11:25:00,
text,in,89f978e5e009ceef33f8581a16bff1843c52329d,2010-09-28 13:13:15,
text,out,fa10-01-09,2010-09-28 16:56:11,
text,in,fa10-01-09,2010-09-28 17:38:03,
text,in,fa10-01-09,2010-09-28 17:36:22,
text,in,fa10-01-09,2010-09-29 12:30:41,
text,in,fa10-01-09,2010-09-29 12:29:40,
text,in,fa10-01-09,2010-09-29 12:26:36,
text,in,89f978e5e009ceef33f8581a16bff1843c52329d,2010-11-02 09:53:19,
