interaction,direction,correspondent_id,datetime,call_duration
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-09-29 07:20:28,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-10-14 13:20:53,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-10-29 16:09:54,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-11-15 11:48:46,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-11-29 07:09:33,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-12-14 17:52:56,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-12-15 12:32:59,
text,in,5f1cd7c3fb68ae7c679f8c33966610670d32ff1e,2010-12-15 23:10:06,
text,in,5f1cd7c3fb68ae7c679f8c33966610670d32ff1e,2010-12-15 23:10:05,
text,in,4afa8f9e90756f0f919a124a1dfbba19be004edc,2010-12-15 22:51:39,
text,in,5f1cd7c3fb68ae7c679f8c33966610670d32ff1e,2010-12-25 15:02:32,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2010-12-29 13:20:03,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-01-14 13:37:57,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-01-29 07:10:06,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-02-15 07:47:22,
text,in,1e7b95c5614637fdcde70eb7f2d109134c95c6bf,2011-02-24 14:01:25,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-03-01 08:51:00,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-03-01 08:50:58,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-03-15 10:08:26,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-03-30 08:41:37,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-04-09 13:19:09,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-04-09 13:24:01,
text,in,5f1cd7c3fb68ae7c679f8c33966610670d32ff1e,2011-04-13 12:37:33,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-04-16 12:31:16,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-04-23 17:06:11,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-04-29 07:12:30,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-05-07 08:25:03,
text,in,5f1cd7c3fb68ae7c679f8c33966610670d32ff1e,2011-05-08 17:33:47,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-05-14 11:08:43,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-05-20 10:17:55,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-05-23 10:40:19,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-05-29 08:14:21,
text,in,51eac6b471a284d3341d8c0c63d0f1a286262a18,2011-06-15 18:02:08,
