interaction,direction,correspondent_id,datetime,call_duration
text,out,fa10-01-20,2010-10-12 14:39:54,
text,in,fa10-01-20,2010-10-14 09:43:00,
text,in,fa10-01-20,2010-10-15 09:30:46,
text,in,fa10-01-20,2010-10-15 09:30:42,
text,out,fa10-01-20,2010-10-15 09:53:44,
text,out,fa10-01-20,2010-10-15 11:22:13,
text,in,fa10-01-20,2010-10-15 11:59:36,
text,in,fa10-01-20,2010-10-20 12:27:28,
text,in,fa10-01-20,2010-10-20 11:50:08,
text,out,fa10-01-20,2010-10-20 12:25:39,
text,out,fa10-01-20,2010-10-20 12:39:45,
text,in,fa10-01-20,2010-10-20 13:08:29,
text,in,fa10-01-20,2010-10-20 13:21:54,
text,out,fa10-01-20,2010-10-20 13:19:15,
text,in,fa10-01-20,2010-10-20 13:32:21,
text,in,fa10-01-20,2010-10-20 13:31:01,
text,out,fa10-01-20,2010-10-20 13:28:46,
text,in,fa10-01-20,2010-10-21 16:08:51,
text,in,fa10-01-20,2010-10-21 16:05:02,
text,in,fa10-01-20,2010-10-21 16:04:59,
text,out,fa10-01-20,2010-10-21 16:24:01,
text,in,fa10-01-20,2010-10-22 14:03:56,
text,in,fa10-01-20,2010-10-22 13:07:49,
text,out,fa10-01-20,2010-10-22 13:55:16,
text,out,fa10-01-20,2010-10-22 13:50:45,
text,out,fa10-01-20,2010-10-22 14:21:56,
text,out,fa10-01-20,2010-10-22 14:20:01,
text,in,fa10-01-20,2010-10-22 14:40:48,
text,out,fa10-01-20,2010-10-22 15:08:08,
text,in,fa10-01-20,2010-10-22 15:11:27,
text,in,fa10-01-20,2010-10-22 15:10:48,
text,out,fa10-01-20,2010-10-22 15:19:10,
text,in,fa10-01-20,2010-10-25 17:21:38,
text,in,fa10-01-20,2010-10-25 17:08:57,
text,in,fa10-01-20,2010-10-25 17:08:15,
text,in,fa10-01-20,2010-10-25 14:56:44,
text,out,fa10-01-20,2010-10-25 17:20:41,
text,out,fa10-01-20,2010-10-25 17:10:05,
text,out,fa10-01-20,2010-10-25 16:33:00,
text,out,fa10-01-20,2010-10-25 14:42:30,
text,in,fa10-01-20,2010-10-26 11:33:26,
text,out,fa10-01-20,2010-10-26 11:36:16,
text,in,fa10-01-20,2010-10-27 14:51:49,
text,in,fa10-01-20,2010-10-27 14:27:57,
text,in,fa10-01-20,2010-10-27 13:55:35,
text,out,fa10-01-20,2010-10-27 15:09:16,
text,out,fa10-01-20,2010-10-27 14:36:28,
text,out,fa10-01-20,2010-10-27 14:24:31,
text,in,fa10-01-20,2010-10-28 11:20:33,
text,in,fa10-01-20,2010-10-28 11:17:12,
text,in,fa10-01-20,2010-10-28 11:12:34,
text,in,fa10-01-20,2010-10-28 11:12:12,
text,in,fa10-01-20,2010-10-28 10:59:28,
text,in,fa10-01-20,2010-10-28 10:59:24,
text,out,fa10-01-20,2010-10-28 11:18:13,
text,out,fa10-01-20,2010-10-28 11:14:52,
text,out,fa10-01-20,2010-10-28 11:00:40,
text,out,fa10-01-20,2010-10-28 11:54:47,
text,in,fa10-01-20,2010-10-28 16:54:18,
text,in,fa10-01-20,2010-10-28 15:35:41,
text,in,fa10-01-20,2010-10-28 15:35:36,
text,out,fa10-01-20,2010-10-28 17:18:28,
text,in,fa10-01-20,2010-10-29 11:39:00,
text,in,fa10-01-20,2010-10-29 11:21:19,
text,in,fa10-01-20,2010-10-29 11:21:14,
text,in,fa10-01-20,2010-10-29 08:11:59,
text,out,fa10-01-20,2010-10-29 11:40:21,
text,out,fa10-01-20,2010-10-29 11:22:40,
text,in,fa10-01-20,2010-10-29 17:18:57,
text,in,fa10-01-20,2010-10-29 17:15:16,
text,out,fa10-01-20,2010-10-29 17:19:19,
text,out,fa10-01-20,2010-10-29 16:03:53,
text,out,fa10-01-20,2010-10-29 15:46:47,
text,in,fa10-01-20,2010-10-29 17:36:21,
text,in,fa10-01-20,2010-10-29 17:35:00,
text,out,fa10-01-20,2010-10-29 17:32:18,
text,in,fa10-01-20,2010-11-01 11:30:45,
text,in,fa10-01-20,2010-11-01 11:30:44,
text,in,fa10-01-20,2010-11-01 11:30:43,
text,in,fa10-01-20,2010-11-01 11:17:33,
text,out,fa10-01-20,2010-11-01 10:38:59,
text,in,fa10-01-20,2010-11-01 12:22:30,
text,in,fa10-01-20,2010-11-01 12:18:18,
text,in,fa10-01-20,2010-11-01 12:18:16,
text,out,fa10-01-20,2010-11-01 12:19:48,
text,out,fa10-01-20,2010-11-01 12:14:46,
text,in,fa10-01-20,2010-11-01 15:34:47,
text,in,fa10-01-20,2010-11-01 15:31:42,
text,in,fa10-01-20,2010-11-01 15:26:28,
text,in,fa10-01-20,2010-11-01 15:26:10,
text,out,fa10-01-20,2010-11-01 15:33:09,
text,out,fa10-01-20,2010-11-01 15:29:59,
text,in,fa10-01-20,2010-11-02 08:49:23,
text,in,fa10-01-20,2010-11-02 08:43:48,
text,in,fa10-01-20,2010-11-02 14:33:01,
text,in,fa10-01-20,2010-11-02 14:28:23,
text,in,fa10-01-20,2010-11-02 13:04:16,
text,in,fa10-01-20,2010-11-02 12:12:59,
text,in,fa10-01-20,2010-11-02 12:12:49,
text,out,fa10-01-20,2010-11-02 14:35:47,
text,out,fa10-01-20,2010-11-02 14:27:01,
text,out,fa10-01-20,2010-11-02 12:59:52,
text,in,fa10-01-20,2010-11-03 13:17:27,
text,in,fa10-01-20,2010-11-03 13:12:03,
text,out,fa10-01-20,2010-11-03 13:15:14,
text,out,fa10-01-20,2010-11-03 13:10:39,
text,in,fa10-01-20,2010-11-03 18:36:35,
text,in,fa10-01-20,2010-11-03 18:36:32,
text,in,fa10-01-20,2010-11-03 18:31:29,
text,in,fa10-01-20,2010-11-03 18:16:03,
text,in,fa10-01-20,2010-11-03 17:33:26,
text,in,fa10-01-20,2010-11-03 16:55:42,
text,in,fa10-01-20,2010-11-03 16:43:35,
text,in,fa10-01-20,2010-11-03 16:41:18,
text,in,fa10-01-20,2010-11-03 16:39:08,
text,in,fa10-01-20,2010-11-03 16:33:09,
text,in,fa10-01-20,2010-11-03 16:33:05,
text,in,fa10-01-20,2010-11-03 16:29:43,
text,in,fa10-01-20,2010-11-03 16:25:11,
text,in,fa10-01-20,2010-11-03 16:11:15,
text,in,fa10-01-20,2010-11-03 16:08:01,
text,in,fa10-01-20,2010-11-03 13:36:01,
text,out,fa10-01-20,2010-11-03 18:37:58,
text,out,fa10-01-20,2010-11-03 18:32:51,
text,out,fa10-01-20,2010-11-03 17:34:11,
text,out,fa10-01-20,2010-11-03 16:44:19,
text,out,fa10-01-20,2010-11-03 16:42:01,
text,out,fa10-01-20,2010-11-03 16:40:28,
text,out,fa10-01-20,2010-11-03 16:34:44,
text,out,fa10-01-20,2010-11-03 16:30:38,
text,out,fa10-01-20,2010-11-03 16:27:03,
text,out,fa10-01-20,2010-11-03 16:12:08,
