interaction,direction,correspondent_id,datetime,call_duration
text,out,sp10-01-02,2010-08-24 19:39:54,
text,in,sp10-01-52,2010-09-09 11:55:11,
text,in,sp10-01-52,2010-09-09 11:53:45,
text,in,sp10-01-52,2010-09-09 11:31:44,
text,out,sp10-01-52,2010-09-09 11:54:19,
text,out,sp10-01-52,2010-09-09 11:52:49,
text,in,sp10-01-02,2011-01-22 20:01:00,
text,out,sp10-01-33,2011-01-27 14:11:56,
text,out,sp10-01-33,2011-03-09 10:28:01,
text,out,sp10-01-33,2011-03-12 15:43:44,
text,out,sp10-01-33,2011-04-13 09:14:35,
text,out,sp10-01-33,2011-05-08 09:58:11,
text,out,sp10-01-33,2011-05-22 13:16:03,
call,out,sp10-01-33,2011-02-18 09:19:26,18.0
call,out,sp10-01-33,2011-02-18 09:15:14,22.0
call,in,sp10-01-33,2011-02-18 12:57:08,8.0
call,in,sp10-01-33,2011-02-18 12:51:16,0.0
call,in,sp10-01-33,2011-02-18 18:16:33,6.0
call,out,sp10-01-33,2011-02-18 18:08:51,27.0
call,out,sp10-01-33,2011-02-18 17:40:24,42.0
call,out,sp10-01-33,2011-02-19 09:08:46,26.0
call,out,sp10-01-33,2011-02-19 09:05:55,24.0
call,out,sp10-01-33,2011-02-20 17:13:51,36.0
call,out,sp10-01-33,2011-02-21 13:56:39,12.0
call,out,sp10-01-33,2011-02-21 13:46:09,46.0
call,out,sp10-01-33,2011-02-21 13:34:47,122.0
call,out,sp10-01-33,2011-02-21 11:35:04,64.0
call,out,sp10-01-33,2011-02-22 13:03:54,528.0
call,in,sp10-01-33,2011-02-22 10:07:34,66.0
call,in,sp10-01-33,2011-02-23 09:45:55,30.0
call,out,sp10-01-33,2011-02-23 09:36:07,32.0
call,out,sp10-01-33,2011-02-23 12:12:59,53.0
call,in,sp10-01-33,2011-02-23 12:09:58,6.0
call,out,sp10-01-33,2011-02-23 17:29:18,334.0
call,out,sp10-01-33,2011-02-23 16:22:35,458.0
call,out,sp10-01-33,2011-02-23 16:00:55,231.0
call,out,sp10-01-33,2011-02-24 17:16:39,144.0
call,in,sp10-01-33,2011-02-24 18:34:37,18.0
call,out,sp10-01-33,2011-02-25 13:21:19,3.0
call,in,sp10-01-33,2011-02-25 21:38:41,133.0
call,out,sp10-01-33,2011-02-25 19:35:57,131.0
call,in,sp10-01-33,2011-02-26 15:11:00,15.0
call,out,sp10-01-33,2011-02-26 15:07:29,164.0
call,out,sp10-01-33,2011-02-27 13:48:30,109.0
call,out,sp10-01-33,2011-02-27 13:06:24,98.0
call,out,sp10-01-33,2011-02-27 13:00:11,10.0
call,out,sp10-01-33,2011-02-27 12:00:14,119.0
call,out,sp10-01-33,2011-02-28 09:17:11,272.0
call,out,sp10-01-33,2011-02-28 17:24:36,280.0
call,out,sp10-01-33,2011-02-28 17:17:03,420.0
call,out,sp10-01-33,2011-02-28 09:36:32,324.0
call,out,sp10-01-33,2011-02-28 17:51:18,62.0
call,out,sp10-01-33,2011-03-01 12:33:26,22.0
call,out,sp10-01-33,2011-03-01 12:31:05,19.0
call,in,sp10-01-33,2011-03-01 09:20:03,373.0
call,out,sp10-01-33,2011-03-01 09:19:28,14.0
call,in,sp10-01-33,2011-03-01 18:40:21,12.0
call,out,sp10-01-33,2011-03-01 18:27:25,24.0
call,out,sp10-01-33,2011-03-01 18:07:47,34.0
call,in,sp10-01-33,2011-03-01 18:05:10,6.0
call,out,sp10-01-33,2011-03-02 17:43:58,8.0
call,in,sp10-01-33,2011-03-02 17:37:22,37.0
call,in,sp10-01-33,2011-03-02 14:13:10,179.0
call,in,sp10-01-33,2011-03-03 17:37:38,14.0
call,out,sp10-01-33,2011-03-03 15:31:10,98.0
call,in,sp10-01-33,2011-03-03 15:07:50,9.0
call,in,sp10-01-33,2011-03-03 09:10:59,4.0
call,in,sp10-01-33,2011-03-03 09:06:23,27.0
call,in,sp10-01-33,2011-03-04 17:39:31,5.0
call,out,sp10-01-33,2011-03-04 11:28:57,179.0
call,in,sp10-01-33,2011-03-04 11:27:01,106.0
call,out,sp10-01-33,2011-03-04 09:15:24,35.0
call,in,sp10-01-33,2011-03-04 09:05:06,22.0
call,in,sp10-01-33,2011-03-05 15:30:08,22.0
call,in,sp10-01-33,2011-03-07 17:40:26,21.0
call,out,sp10-01-33,2011-03-07 13:20:35,1127.0
call,in,sp10-01-33,2011-03-07 10:52:54,253.0
call,in,sp10-01-33,2011-03-08 17:25:51,6.0
call,in,sp10-01-33,2011-03-08 10:59:17,459.0
call,in,sp10-01-33,2011-03-08 09:27:43,838.0
call,out,sp10-01-33,2011-03-08 09:06:44,22.0
call,in,sp10-01-33,2011-03-09 17:38:23,8.0
call,out,sp10-01-33,2011-03-09 16:37:50,239.0
call,out,sp10-01-33,2011-03-09 13:03:23,367.0
call,in,sp10-01-33,2011-03-10 09:29:05,121.0
call,out,sp10-01-33,2011-03-10 09:15:04,5.0
call,out,sp10-01-33,2011-03-11 18:24:44,10.0
call,in,sp10-01-33,2011-03-11 18:03:18,25.0
call,out,sp10-01-33,2011-03-11 16:58:44,69.0
call,out,sp10-01-33,2011-03-11 14:20:15,140.0
call,in,sp10-01-33,2011-03-12 14:00:31,19.0
call,in,sp10-01-33,2011-03-12 13:51:15,326.0
call,out,sp10-01-33,2011-03-12 17:51:03,32.0
call,in,sp10-01-33,2011-03-12 17:41:12,52.0
call,in,sp10-01-33,2011-03-12 17:29:26,7.0
call,out,sp10-01-33,2011-03-12 16:31:34,32.0
call,in,sp10-01-33,2011-03-12 16:15:58,100.0
call,in,sp10-01-33,2011-03-12 14:06:30,9.0
call,in,sp10-01-02,2011-03-13 11:35:34,58.0
call,out,sp10-01-33,2011-03-13 10:29:58,63.0
call,out,sp10-01-33,2011-03-13 07:18:49,1.0
call,in,sp10-01-33,2011-03-13 18:33:53,29.0
call,in,sp10-01-33,2011-03-14 17:39:50,7.0
call,out,sp10-01-33,2011-03-14 16:30:14,221.0
call,out,sp10-01-33,2011-03-14 14:56:27,991.0
call,out,sp10-01-33,2011-03-14 14:48:35,88.0
call,out,sp10-01-33,2011-03-15 13:32:20,328.0
call,in,sp10-01-33,2011-03-15 12:03:38,0.0
call,out,sp10-01-33,2011-03-16 09:11:29,11.0
call,in,sp10-01-33,2011-03-16 09:03:15,71.0
call,in,sp10-01-33,2011-03-16 17:39:27,6.0
call,out,sp10-01-33,2011-03-16 17:05:38,275.0
call,out,sp10-01-33,2011-03-16 14:01:28,35.0
call,in,sp10-01-33,2011-03-16 11:43:31,290.0
call,in,sp10-01-33,2011-03-16 09:48:22,296.0
call,out,sp10-01-33,2011-03-16 09:45:22,13.0
call,out,sp10-01-33,2011-03-16 09:44:45,0.0
call,out,sp10-01-33,2011-03-17 09:06:10,26.0
call,out,sp10-01-33,2011-03-17 08:50:25,30.0
call,in,sp10-01-33,2011-03-17 17:36:42,112.0
call,out,sp10-01-33,2011-03-17 14:05:47,102.0
call,in,sp10-01-33,2011-03-17 13:51:51,21.0
call,in,sp10-01-33,2011-03-18 17:36:41,16.0
call,in,sp10-01-33,2011-03-18 15:43:42,397.0
call,in,sp10-01-33,2011-03-18 15:42:20,60.0
call,out,sp10-01-33,2011-03-18 11:53:22,324.0
call,in,sp10-01-33,2011-03-19 18:17:39,145.0
call,in,sp10-01-33,2011-03-19 16:40:43,183.0
call,out,sp10-01-33,2011-03-20 18:16:21,103.0
call,out,sp10-01-33,2011-03-20 15:53:54,71.0
call,in,sp10-01-33,2011-03-20 15:49:56,76.0
call,in,sp10-01-33,2011-03-20 14:32:17,147.0
call,in,sp10-01-33,2011-03-21 10:14:41,103.0
call,in,sp10-01-33,2011-03-21 09:47:26,30.0
call,out,sp10-01-33,2011-03-21 09:42:34,32.0
call,out,sp10-01-33,2011-03-21 09:35:58,139.0
call,out,sp10-01-33,2011-03-21 09:35:11,27.0
call,in,sp10-01-33,2011-03-21 17:36:32,27.0
call,in,sp10-01-33,2011-03-22 16:31:10,362.0
call,out,sp10-01-33,2011-03-22 10:06:36,52.0
call,in,sp10-01-33,2011-03-22 17:42:10,5.0
call,out,sp10-01-33,2011-03-23 17:34:50,78.0
call,out,sp10-01-33,2011-03-23 17:26:23,0.0
call,in,sp10-01-33,2011-03-23 13:48:26,160.0
