interaction,direction,correspondent_id,datetime,call_duration,antenna_id
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-21 08:20:07,,
text,in,8fea1791eba929dbae3bddfe64861f86679deeaf,2016-06-21 08:21:52,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-21 08:22:23,3,
call,out,effc58da851b9ab004194a8c74998802d0bcca45,2016-06-21 08:23:03,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-21 08:23:27,2,
call,in,9fbddf318f1b3a709e487f96921d81ed2865b17d,2016-06-21 08:25:01,16,
text,in,9b59ae675ab7172e29d3f0099b781bbccb305071,2016-06-21 08:51:55,,
text,out,9b59ae675ab7172e29d3f0099b781bbccb305071,2016-06-21 08:54:10,,
text,in,8fea1791eba929dbae3bddfe64861f86679deeaf,2016-06-21 09:00:15,,
call,in,effc58da851b9ab004194a8c74998802d0bcca45,2016-06-21 10:12:53,,
call,in,d586228612dc2fa2bb096a9aba71bb919155fe28,2016-06-21 11:45:45,60,
call,out,68aab956a9752a5cf4a720ad786baa83b84c3716,2016-06-21 12:31:25,60,
text,in,9b59ae675ab7172e29d3f0099b781bbccb305071,2016-06-21 20:33:12,,
text,in,2f8bb4a8c03bbfa2953c0bff000f44cdc8edc5de,2016-06-23 08:31:36,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-23 12:10:27,,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-06-23 12:38:53,343,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-23 14:54:20,4,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-06-23 15:42:33,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-23 16:56:14,172,
call,in,f20d18bfe4e435781a18a358c7eb6e7381d289ee,2016-06-23 17:12:34,84,
call,in,f20d18bfe4e435781a18a358c7eb6e7381d289ee,2016-06-24 12:38:30,382,
text,in,60e0eb399705ca09e4ef9faae4cf24cb48760604,2016-06-24 13:32:31,,
call,out,d09c975bf1fcf53902f46f551c548ac81a3b3922,2016-06-24 14:56:03,688,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-06-24 15:43:48,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-24 16:13:38,191,
text,out,60e0eb399705ca09e4ef9faae4cf24cb48760604,2016-06-24 16:24:18,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-24 17:24:34,37,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-24 18:06:16,101,
text,in,a19724e9be84a70338ceafb3e27a054e7d95a87d,2016-06-24 19:08:19,,
text,in,2f8bb4a8c03bbfa2953c0bff000f44cdc8edc5de,2016-06-25 10:47:35,,
call,in,fed079947094d088440b53367bca7653ee7e62e7,2016-06-25 15:14:22,114,
call,in,9ad2eedd0839c8ff84dde3775c83e2e63df074f8,2016-06-26 19:20:15,285,
call,out,4585f13dca7996720b33abb1c6233aa8438e8c8,2016-06-27 10:30:30,180,
text,in,a83bc07cd5eabdcd21349524eb12362dc29af55f,2016-06-27 10:53:48,,
text,in,1831a6901a691e9875289feb8a77a0f31f8b761c,2016-06-27 14:10:33,,
text,in,115caf55a9e34dd91237c7a07a90908dd157d8cf,2016-06-27 16:25:57,,
call,out,b413e139320788668c5bf6c620bd2e5b1ff2b01b,2016-06-27 17:17:13,,
call,out,fed079947094d088440b53367bca7653ee7e62e7,2016-06-27 18:00:33,49,
